proj_1 proj_2 proj3
0.653640118310929 0.06964043622339645 0.11047708963811578 
0.6723912731198537 0.24851830044049614 0.14965210737570042 
0.8208626767243089 0.20118149347721562 0.07428464033069766 
0.7381687911356801 0.15667663142781896 0.1942000186506487 
0.6810026692392906 0.12418317196640456 0.13166424884334493 
0.7201747506154691 0.030772369788160513 0.23134341191819477 
0.747249812345089 0.0327554012722181 0.1136490076854147 
0.6986261825844343 0.19930472317298115 0.09488004758943251 
0.7433901843248476 0.14089331043804476 0.025839581558614984 
0.7655559865795424 0.03281013215969487 0.10542295967984103 
0.7626959821980095 0.12239356736500918 0.10085007614473683 
0.6198269056787379 0.22623939216765496 0.10662583049743572 
0.46753290200268405 0.03782801420526261 0.23222750994474542 
0.8683382989520337 0.05390041878981631 0.13443158497763394 
0.7933315689018138 0.12813042504360506 0.11986046357110307 
0.6884798725856875 0.03140870798760622 0.07054413185149433 
0.72872116717905 0.03301509535349749 0.10752313654941043 
0.686405583984544 0.15930858157472766 0.046024943584367164 
0.7440761258678887 0.09410695135208878 0.11837382565284019 
0.7512922523585673 0.16588947835064055 0.11454526555050265 
0.49231684567966333 0.0974618059967092 0.1704660500876058 
0.7033820856358521 0.049526337022064444 0.037060022490555414 
0.7509538358183887 0.32017796286218086 0.08951035998922785 
0.651707335374158 0.03226306922802773 0.1602388594848886 
0.7917567702815574 0.14134136385948612 0.08060170938580931 
0.7948489247939342 0.048218044138588656 0.1104059567433908 
0.7348403848184383 0.12553610792751355 0.09578911992790294 
0.7443500839578896 0.1508112174790662 0.3221444862437999 
0.7432697946593941 0.14172569355729192 0.03544047658888588 
0.7672580317556114 0.03344773267447057 0.07683744674811092 
0.6957219093002315 0.06293125848184446 0.2263926754410999 
0.7182797797527494 0.15138657336590416 0.09104314999189596 
0.6530116024625543 0.06534715003092646 0.03412971202286224 
0.6428203736739431 0.27751062687067996 0.26617382490299374 
0.6737642597301894 0.2005427423378175 0.11819478647092625 
0.6410899200615343 0.033725889813018946 0.1520250561310429 
0.5887841057361052 0.1596015305928716 0.13054756950522964 
0.5838937294148047 0.16969227722916985 0.06534729422766951 
0.7895478229670091 0.04140455338485597 0.09248811540248504 
0.7106378307035046 0.06833631541549913 0.1563007712025372 
0.751373172188188 0.21207923484852315 0.03233534545813157 
0.896037353141345 0.060439212262587645 0.026052162267729738 
