x_range mlu lu90 lu50 ahc competitive_ratio 
0 0.394260268982 0.349207638614 0.071505311825 1.4124240068 1.13984575823 
1 0.468314690505 0.380135301362 0.0956230703938 1.41599269832 1.13984575823 
2 0.484191979824 0.394260268979 0.105157772386 1.41724686462 1.13984575823 
3 0.4969120286 0.405181998009 0.111776355846 1.41783231542 1.13984575823 
4 0.507751002743 0.411660130464 0.11811412684 1.41955057037 1.13984575823 
5 0.519277202545 0.416480980997 0.121388057087 1.42199563898 1.16303191446 
6 0.524205967693 0.424210697874 0.129239927712 1.42281751557 1.18492338542 
7 0.533983623143 0.428794939281 0.134705283573 1.42392365911 1.22493813391 
8 0.540798598426 0.431777991528 0.14046056111 1.42429174105 1.25858982683 
9 0.55025760952 0.436394182053 0.143573530651 1.42550934443 1.28780788942 
10 0.553387099451 0.438127291313 0.148700122242 1.42595479169 1.30465917997 
11 0.556869511106 0.44204343053 0.15412587614 1.42696324421 1.31339203819 
12 0.560425995124 0.444791257853 0.15777640284 1.42783726778 1.31339203819 
13 0.563889299816 0.44779624231 0.160032837422 1.42846186249 1.31339203819 
14 0.567855837593 0.45163591296 0.163192500727 1.42931046651 1.31339203819 
15 0.57458766885 0.456276240903 0.169403332507 1.42978172147 1.31339203819 
16 0.579185304233 0.458316254619 0.172200041069 1.43058493873 1.31339203819 
17 0.581779643874 0.461346877873 0.174339859388 1.43101080357 1.31339203819 
18 0.585938942195 0.463954699976 0.175887673258 1.43149239159 1.32508521725 
19 0.589208900393 0.466761097169 0.177557003409 1.4321822935 1.32508521725 
20 0.595050705372 0.469149154384 0.181138635711 1.43290940852 1.32508521725 
21 0.600468442697 0.471189959669 0.184483125096 1.43390928046 1.32907164498 
22 0.605489785869 0.472717461215 0.186856984984 1.43423900009 1.34338688594 
23 0.609484857174 0.474294840386 0.189398969899 1.43463605292 1.34986199219 
24 0.611429262106 0.477482479803 0.192417501742 1.43525377342 1.36166211252 
25 0.612852172259 0.480715075404 0.195191756724 1.43561539572 1.37373347661 
26 0.617549689765 0.483109135142 0.197477353461 1.43633852273 1.38292490123 
27 0.620750006739 0.486119972372 0.200315869678 1.43685215001 1.39764112862 
28 0.624977446556 0.488019796391 0.203236372931 1.43728484753 1.4094476939 
29 0.62725234442 0.490828088604 0.207241328595 1.43773068473 1.42007105454 
30 0.631933250025 0.492610213934 0.208821641268 1.43819567361 1.42999975556 
31 0.634281350456 0.494515183122 0.209646251089 1.43878763065 1.43623124372 
32 0.63636554938 0.497590462148 0.21250722538 1.43930353967 1.45112100155 
33 0.639045726487 0.501200109545 0.214780561942 1.43963058484 1.46147618355 
34 0.641336489649 0.504160221076 0.216918327295 1.44020663323 1.47072657742 
35 0.646323749907 0.507120408447 0.219013624097 1.44058171701 1.47712518526 
36 0.648285748767 0.508708228979 0.221909238111 1.44146003936 1.50047473074 
37 0.65180993387 0.509979790153 0.22377076948 1.44202276693 1.50679830832 
38 0.655194919591 0.512567106052 0.226396464463 1.4426031621 1.50679830832 
39 0.659662563019 0.515092061352 0.229221291132 1.4429321483 1.50679830832 
40 0.6638623137 0.518898878935 0.230453558513 1.44343673388 1.51314666238 
41 0.666375279537 0.521127313726 0.232793360823 1.44399330379 1.52341612853 
42 0.669443967227 0.523993693662 0.234564187243 1.4447129188 1.53529990999 
43 0.673360886486 0.527032060353 0.23551452642 1.44522266922 1.54598851991 
44 0.677960853856 0.529253722241 0.237602263897 1.44565329468 1.55819903357 
45 0.683170184356 0.531224304183 0.238586152703 1.44601583465 1.57177009513 
