x_range mlu lu90 lu50 ahc competitive_ratio 
0 0.6145522694 0.111452295253 0.0 1 3.75 
1 0.643053091225 0.223191077562 0.0 1 3.75 
2 0.676936652656 0.258256210737 0.0 1 3.75 
3 0.689688797963 0.28510413453 0.0 1 3.75 
4 0.708446472933 0.31117835616 0.0 1 3.75 
5 0.720645126482 0.332738748098 0.0 1 3.75 
6 0.73088927552 0.361114034715 0.0 1 3.75 
7 0.741302625986 0.3760974503 0.0 1 3.75 
8 0.749798587186 0.393524249579 0.0 1 3.75 
9 0.765762306846 0.407996235061 0.0 1 3.75 
10 0.77715940915 0.420437132676 0.0 1 3.75 
11 0.792488793532 0.425048793726 0.0 1 3.75 
12 0.799619660698 0.436581205166 0.0 1 3.75 
13 0.809484954848 0.444715409028 0.0 1 3.75 
14 0.832381395715 0.456135899329 0.0 1 3.75 
15 0.842235945735 0.465619574944 0.0 1 3.75 
16 0.858281259993 0.471958204058 0.0 1 3.75 
17 0.86757606306 0.477791116781 0.0 1 3.75 
18 0.882671974053 0.484639935812 0.0 1 3.75 
19 0.903235138208 0.490540537948 0.0 1 3.75 
20 0.916877346152 0.498366224326 0.0 1 3.75 
21 0.925088296598 0.502097205795 0.0 1 3.75 
22 0.938975699699 0.509128520572 0.0 1 3.75 
23 0.955039346714 0.515242820976 0.0 1 3.82871876033 
24 0.961513727642 0.520569282104 0.0 1 3.90900299267 
25 0.982522637071 0.525537971949 0.0 1 4.07916258097 
26 0.999629635856 0.529889265417 0.0 1 4.21814526014 
27 1.01827028841 0.534351024602 0.0 1 4.33388124941 
28 1.0376832071 0.538915216306 0.0 1 4.54873301263 
29 1.04961112907 0.543749470944 0.0 1 4.79102154034 
30 1.07301399227 0.54706663286 0.0 1 5.07280296299 
31 1.08448147906 0.552204018555 0.0 1 5.3214304925 
32 1.10502804801 0.555177967588 0.0 1 5.47922789751 
33 1.1228068405 0.55692934352 0.0 1 5.52119331297 
34 1.13648098818 0.562928714394 0.0 1 5.75683965758 
35 1.14956037176 0.565129596454 0.0 1 5.88461328958 
36 1.16697924902 0.571117884903 0.0 1 6.0183282118 
37 1.18421530517 0.574654408661 0.0 1 6.18847846035 
38 1.19030299758 0.578893131801 0.0 1 6.41054155325 
39 1.21081839825 0.582814485764 0.0 1 6.57597029952 
40 1.2311922078 0.586381621594 0.0 1 6.7603771217 
41 1.24240421665 0.590611843303 0.0 1 6.92553998559 
42 1.26905708448 0.595289148275 0.0 1 7.07076963436 
43 1.28479063168 0.59940635623 0.0 1 7.21084433807 
44 1.29878366883 0.606512882189 0.0 1 7.30922745057 
45 1.32492160669 0.612603045298 0.0 1 7.38142193155 
46 1.33750765666 0.616863482964 0.0 1 7.5 
47 1.37269408762 0.620615693261 0.0 1 7.5 
48 1.39284689709 0.625602517402 0.0 1 7.5 
49 1.40342593832 0.628477625641 0.0 1 7.5 
50 1.41918995321 0.636539193322 0.0 1 7.5 
51 1.43877802714 0.641583022431 0.0 1 7.5 
52 1.46734223853 0.645471972898 0.0 1 7.5 
53 1.48142300729 0.649040881225 0.0 1 7.5 
54 1.50053837725 0.654777126926 0.0 1 7.5 
55 1.51915592438 0.661954922641 0.0 1 7.5 
56 1.53465229364 0.66692446314 0.0 1 7.5 
57 1.5522434155 0.67285392068 0.0 1 7.5 
58 1.56544528457 0.677053592932 0.0 1 7.5 
59 1.58627224495 0.68250458458 0.0 1 7.5 
60 1.59961032114 0.687084078532 0.0 1 7.5 
61 1.61426819101 0.690841784839 0.0 1 7.5 
62 1.63400528382 0.696688655356 0.0 1 7.5 
63 1.6435668467 0.70078967765 0.0 1 7.5 
64 1.6563378227 0.70403952173 0.0 1 7.5 
65 1.6708049383 0.710627572442 0.0 1 7.5 
66 1.68255738737 0.715058763357 0.0 1 7.5 
67 1.70314756092 0.721105491583 0.0 1 7.5 
68 1.72833551442 0.725670343153 0.0 1 7.5 
69 1.76340930949 0.730022518431 0.0 1 7.5 
70 1.77495570352 0.736264418756 0.0 1 7.5 
71 1.80411548733 0.740826559031 0.0 1 7.5 
72 1.8257231262 0.74459580042 0.0 1 7.5 
73 1.84223234947 0.749798587186 0.0 1 7.5 
74 1.87671660641 0.753983624132 0.0 1 7.5 
75 1.90451182521 0.760141660789 0.0 1 7.5 
76 1.92518564505 0.768529178542 0.0 1 7.5 
77 1.9616096458 0.775489633002 0.0 1 7.5 
78 1.98074947878 0.784816327237 0.0 1 7.5 
79 2.00609665636 0.794360646374 0.0 1 7.5 
80 2.03954574515 0.796831846802 0.0 1 7.5 
81 2.05744905704 0.802884029828 0.0 1 7.5 
82 2.10434691379 0.811428323078 0.0 1 7.5 
83 2.1439681995 0.829212647785 0.0 1 7.5 
84 2.18395496046 0.83876679258 0.0 1 7.5 
85 2.21918656671 0.847061300353 0.0 1 7.5 
86 2.25053801997 0.857976619787 0.0 1 7.5 
87 2.27792085835 0.866081828096 0.0 1 7.5 
88 2.31032651997 0.882449896414 0.0 1 7.5 
89 2.38983213528 0.899777084656 0.0 1 7.5 
90 2.43220419707 0.917508618217 0.0 1 7.5 
91 2.50302141322 0.930862949231 0.0 1 7.5 
92 2.55283001787 0.940382024749 0.0 1 7.5 
93 2.6577504862 0.959304945334 0.0 1 7.5 
94 2.72290966782 0.983358752919 0.0 1 7.5 
95 2.85355390956 1.01677027942 0.0 1 7.5 
96 2.95429518986 1.04961112907 0.0 1 7.5 
97 3.05221349768 1.09850021546 0.0 1 7.5 
98 3.16331832357 1.12858617291 0.0 1 7.5 
99 3.30672760056 1.19124539452 0.0 1 7.5 
100 3.84284825333 1.39393895539 0.0 1 7.5 
